P/T zeta zeta_errplus zeta_errminus
0.001 1.0 0.0 0.0
0.1 1.0 0.0 0.0
0.12 0.9832 0.0213 0.0216
0.15000000000000002 1.0216 0.024 0.025
0.16999999999999998 1.0179 0.0064 0.0053
0.2 1.0 0.0 0.0
0.20000000000000004 1.0 0.0 0.0
0.21999999999999997 1.0149 0.0447 0.0442
0.25000000000000006 1.0 0.0 0.0
0.26999999999999996 1.0423 0.0374 0.0374
0.30000000000000004 0.9589 0.0506 0.0487
0.30000000000000004 0.9597 0.0535 0.0445
0.31999999999999995 0.9641 0.0106 0.013
0.3500000000000001 1.0432 0.02 0.0136
0.36999999999999994 1.0598 0.0614 0.0564
0.4 1.0114 0.0787 0.0782
0.40000000000000013 1.0122 0.0814 0.0739
0.41999999999999993 0.9578 0.0867 0.0686
0.45000000000000007 0.9321 0.0456 0.0435
0.4699999999999999 0.9478 0.014 0.02
0.5 1.0 0.0 0.0
0.5000000000000001 1.0 0.0 0.0
0.5500000000000002 1.0791 0.0419 0.0352
0.6 1.0921 0.1071 0.1033
0.6000000000000002 1.0933 0.1118 0.0966
0.6500000000000001 1.0476 0.1319 0.1176
0.7000000000000001 0.9744 0.1443 0.1176
0.7000000000000002 0.9702 0.143 0.1299
0.7500000000000002 0.909 0.1452 0.1198
0.8 0.8819 0.1003 0.0971
0.8000000000000002 0.8843 0.0943 0.0962
0.8500000000000002 0.8853 0.0525 0.0605
0.9 0.9095 0.0233 0.0277
0.9000000000000002 0.9088 0.0234 0.027
0.9500000000000003 0.9509 0.0054 0.0073
1.0 1.0 0.0 0.0
1.1 1.0946 0.0226 0.0204
1.2000000000000002 1.1679 0.0846 0.0622
1.3000000000000003 1.215 0.1563 0.1158
1.4000000000000001 1.2391 0.2244 0.1963
1.5000000000000002 1.2518 0.2898 0.2356
1.6 1.2498 0.3507 0.2778
1.7000000000000002 1.2417 0.4049 0.3015
1.8000000000000003 1.2371 0.4381 0.3363
1.9000000000000001 1.2076 0.4755 0.3669
2.0 1.1936 0.4997 0.3784
2.1 1.188 0.5346 0.3994
2.2 1.1483 0.5719 0.3839
2.3000000000000003 1.1264 0.5795 0.4048
2.4000000000000004 1.0877 0.6025 0.3958
2.5000000000000004 1.0957 0.6073 0.4105
2.6 1.0251 0.552 0.383
2.7 1.018 0.5569 0.3862
2.8000000000000003 1.0025 0.6137 0.3891
2.9000000000000004 0.9578 0.6127 0.3678
3.0000000000000004 0.9445 0.5815 0.3674
3.1 0.9153 0.5882 0.3642
3.2 0.9066 0.6734 0.3541
3.3000000000000003 0.8632 0.5992 0.3233
3.4000000000000004 0.8608 0.6001 0.3444
3.5000000000000004 0.826 0.5678 0.325
